Location,Jan,Feb,March,April,May,June,July,Aug,Sep,Oct,Nov,Dec
Balanagar,141,129,127,127,121,107,90,97,123,132,136,148
Uppal,141,126,126,112,107,87,85,82,91,107,122,134
Jubilee Hills,129,124,124,104,116,109,100,101,106,106,135,123
Paradise,130,125,117,106,118,104,83,93,102,96,102,106
Charminar ,145,128,117,102,101,106,91,97,111,123,111,129
Jeedimetla,135,141,128,126,126,97,83,105,125,129,154,136
Abids,126,122,112,99,105,98,90,91,85,100,94,106
KBRN Park,100,90,87,77,79,53,53,51,62,78,86,93
Langahouse,116,128,113,90,97,89,75,84,103,103,100,98
Madhapur,112,100,105,104,97,72,71,68,84,99,91,105
MGBS,102,107,110,89,83,73,75,86,98,100,100,105
Chikkadapally,99,99,96,99,90,81,76,82,94,95,88,108
Kukatpally,144,131,127,120,111,100,83,78,97,125,123,126
Nacharam,115,106,123,113,114,107,88,84,90,101,91,98
Rajedranagar,61,56,60,55,60,48,46,64,72,86,73,93
Sainikpuri,90,85,68,69,74,74,67,71,78,54,99,90
BPPA,88,78,86,62,74,67,53,60,75,77,74,90
Shameerpet,63,75,66,65,57,55,69,68,70,71,83,73
HCU,146,106,107,93,93,56,42,41,73,111,112,129
Sanathnagar,229,125,122,83,69,45,33,33,60,86,163,202
Zoopark,217,123,115,97,89,50,44,48,94,157,165,216
Pashamylaram,171,105,105,85,86,68,80,100,100,131,156,173
Bollaram,156,118,129,109,107,80,66,75,93,127,111,136
ICRISAT,152,110,109,89,91,54,43,45,75,121,138,151
