Location,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19,Oct-19,Nov-19,Dec-19
"Balanagar , CITD office ",182,175,157,149,139,118,88,85,85,110,143,150
"Uppal, Modern food Industry, IDA",139,124,126,92,108,84,83,77,78,102,142,144
"Jubilee Hills, Police station",151,147,125,105,104,92,83,71,79,99,112,132
"Paradise, HMWS &SB Pump house ",133,137,108,113,114,101,91,71,81,105,102,124
"Charminar, TSRTC bus station ",137,136,110,100,109,83,75,66,72,95,108,131
"Jeedimetla, Industrial Association building",161,162,153,121,120,105,91,83,87,103,123,146
"Abids, Police station ",115,98,105,95,108,100,88,74,88,80,103,98
"KBRN Park, DFO office ",85,70,64,58,70,43,38,41,42,39,66,69
"Langar House, Police Station ",103,94,100,87,102,83,88,85,98,109,106,117
"Madhapur, Shilpa Kalavedika ",109,97,106,92,104,77,75,55,76,91,106,103
"MGBS, Bus stand ",112,96,108,83,105,94,79,64,67,73,105,106
"Chikkadapally, Lepakshi Emporium ",108,85,79,77,93,79,75,68,72,69,99,86
"Kukatpally, JNTU",142,126,113,91,101,77,74,66,73,88,121,141
"Nacharam, Police station ",107,92,89,80,96,64,70,67,73,87,110,107
"Rajendranagar, NG Ranga Agricultural University ",92,95,79,56,53,49,35,39,39,45,61,69
"Sainikpuri,  MRO office ",71,75,66,69,84,85,83,56,69,61,54,59
"Buddha Purnima Project office, Tank Bund",99,82,75,72,67,63,63,64,59,61,82,88
"Shameerpet, MRO office",71,58,52,78,83,74,69,65,54,46,,74
HCU,145,112,106,91,116,61,36,43,40,61,126,109
Sanathnagar,211,111,89,69,77,52,40,38,51,93,188,176
Zoopark,234,146,119,107,140,65,40,44,52,89,203,190
Pashamylaram,184,123,120,87,125,56,43,60,42,69,181,154
Bollaram,168,115,114,99,126,74,64,74,58,82,173,151
ICRISAT,160,116,114,93,122,54,33,38,36,67,156,134
