Location,Jan-21,Feb-21,Mar-21,Apr-21,May-21,Jun-21,Jul-21,Aug-21,Sep-21,Oct-21,Nov-21,Dec-21
"Balanagar , CITD office ",162,169,166,166,112,93,81,81,69,103,111,134
"Uppal, Modern food Industry, IDA",138,134,136,128,64,69,75,70,55,94,91,116
"Jubilee Hills, Police station",120,107,120,105,58,72,72,84,53,81,91,95
"Paradise, HMWS &SB Pump house ",126,115,116,100,64,61,74,66,69,84,90,113
"Charminar, TSRTC bus station ",124,127,126,110,59,66,68,64,77,106,88,111
"Jeedimetla, Industrial Association building",148,147,148,121,74,69,68,72,58,100,114,128
"Abids, Police station ",100,106,106,77,50,47,47,45,46,54,76,106
"KBRN Park, DFO office ",81,64,66,57,35,38,32,27,26,42,53,79
"Langar House, Police Station ",114,115,103,85,55,59,54,48,55,60,77,110
"Madhapur, Shilpa Kalavedika ",123,114,111,97,60,55,48,47,42,67,89,108
"MGBS, Bus stand ",121,96,100,87,52,64,54,51,49,76,86,112
"Chikkadapally, Lepakshi Emporium ",102,95,93,93,50,63,50,50,49,59,70,99
"Kukatpally, JNTU",113,109,100,92,50,53,53,55,51,85,102,98
"Nacharam, Police station ",116,108,107,87,53,51,44,49,42,66,85,109
"Rajendranagar, NG Ranga Agricultural University ",82,71,80,66,43,42,29,32,32,41,62,87
"Sainikpuri,  MRO office ",95,76,76,75,37,39,36,36,33,45,67,97
"Buddha Purnima Project office, Tank Bund",91,90,82,66,41,48,42,43,42,55,70,93
"Shameerpet, MRO office",,,,,,,,,,,,84
HCU,117,113,114,104,57,43,31,35,36,86,89,128
Sanathnagar,159,158,128,90,48,36,34,40,36,94,106,185
Zoopark,156,155,142,127,68,54,56,54,56,126,155,237
Pashamylaram,147,130,138,116,78,82,75,96,88,140,143,192
Bollaram,151,135,142,117,70,60,44,65,55,99,104,168
ICRISAT,136,133,127,106,54,36,25,46,25,97,118,174
