Location,Jan,Feb,March,April,May,June,July,Aug,Sep,Oct,Nov,DEC
R C Puram,78,98,95,95,97,65,55,41,53,81,89,96
Gaddapotharam,101,99,97,97,94,76,57,52,52,78,88,95
Sangareddy,68,86,81,80,74,63,49,50,57,65,64,76
Nalgonda,68,67,73,69,80,59,58,54,57,56,63,54
Choutuppal,62,59,68,63,66,62,60,58,61,60,66,61
Nizamabad,61,61,66,70,54,64,59,60,64,48,60,62
Adilabad,66,67,70,74,74,69,64,64,62,67,75,81
Boallaram,,153,130,139,120,113,115,148,137,117,121,126
PETL,62,97,91,87,95,88,85,94,90,102,94,85
"Kuda, warangal",117,91,80,82,84,86,73,79,81,86,96,86
"Mee-Seva, Warangal",94,96,79,83,81,84,70,73,80,89,94,88
Godavarikhani,136,112,105,98,100,102,89,92,94,97,104,100
Karimnagar,111,87,89,100,100,100,89,91,100,98,106,100
Kothagudem,67,64,71,81,81,85,81,85,86,92,105,98
Khammam,64,68,71,77,77,83,75,79,84,85,92,88
Kothur,108,90,108,107,105,107,96,93,100,102,114,107
Balasamudram,108,81,86,88,78,76,80,68,84,88,89,93
Nakkalagutta,106,87,90,92,85,83,85,75,86,98,97,94
