Location,01/22,02/22,03/22,04/22,05/22,06/22,07/22,08/22,09/22,10/22,11/22,12/22
"Balanagar , CITD office ",139,141,137,111,116,103,81,53,89,81,104,113
"Uppal, Modern food Industry, IDA",118,111,108,108,108,87,54,56,67,69,97,103
"Jubilee Hills, Police station",98,101,97,85,91,79,64,54,58,81,86,95
"Paradise, HMWS &SB Pump house ",110,117,116,105,102,86,69,62,68,83,95,106
"Charminar, TSRTC bus station ",110,99,107,89,94,92,77,67,73,93,104,114
"Jeedimetla, Industrial Association building",128,144,136,118,110,90,63,81,76,77,104,113
"Abids, Police station ",103,97,114,99,96,85,50,63,68,64,89,100
"KBRN Park, DFO office ",76,73,82,84,66,52,33,35,51,48,78,89
"Langar House, Police Station ",100,101,106,100,90,73,62,62,65,61,86,100
"Madhapur, Shilpa Kalavedika ",112,108,106,116,103,74,54,51,61,58,80,85
"MGBS, Bus stand ",114,100,98,103,91,78,60,59,65,64,94,93
"Chikkadapally, Lepakshi Emporium ",98,99,91,94,88,80,47,58,58,57,76,93
"Kukatpally, JNTU",110,107,108,86,82,58,62,53,69,73,103,108
"Nacharam, Police station ",108,101,100,89,83,68,46,60,58,56,88,98
"Rajendranagar, NG Ranga Agricultural University ",80,81,73,72,56,46,30,44,61,50,85,92
"Sainikpuri,  MRO office ",75,76,67,68,74,60,38,51,45,47,78,71
"Buddha Purnima Project office, Tank Bund",92,82,82,76,69,62,49,52,58,51,87,87
"Shameerpet, MRO office",68,83,68,79,95,62,54,70,76,83,85,88
HCU,128,112,116,100,101,69,52,52,52,82,129,110
Sanathnagar,141,107,123,81,74,47,41,38,50,97,178,155
Zoopark,192,158,177,119,111,61,41,42,55,134,273,236
Pashamylaram,194,133,136,105,108,64,50,54,56,103,245,187
Bollaram,146,119,137,118,123,92,58,67,76,101,166,162
ICRISAT,141,107,126,96,96,68,39,42,43,91,202,161
ECIL,,,,82,46,36,48,40,39,47,56,65
Nacharam,,,,36,43,65,34,43,42,54,55,75
Malakpet louis,,,,94,51,67,57,54,47,46,62,72
Khairthabad RTA,,,,81,64,77,52,53,43,47,64,80
Komaplly,,,,47,58,37,43,46,40,46,54,67
Kokapet,,,,42,36,29,37,52,43,45,55,75
Sympony Park,,,,45,43,53,43,50,48,49,57,67
IITH ,,,,58,60,62,40,45,37,44,48,59
R C Puram,86,84,92,90,85,81,71,74,80,85,79,84
Gaddapotharam,89,93,95,94,96,90,79,82,85,90,85,87
Sangareddy,67,62,65,68,65,60,53,57,61,67,62,65
Nalgonda,51,53,57,54,51,49,45,54,58,65,58,57
"Marketing Office Building, Beat Market, Hyd Road Nalgonda ",53,58,52,56,53,50,43,51,55,58,53,52
Choutuppal,85,89,96,97,97,92,81,84,88,93,87,89
Nizamabad,56,59,64,58,56,54,46,53,54,63,56,59
Adilabad,,,56,65,60,58,48,56,56,65,58,62
Bollaram,87,91,86,90,87,91,76,89,92,92,87,88
PETL,85,75,74,75,73,78,64,78,81,85,78,76
"Kuda, warangal",58,64,49,66,54,72,40,43,41,64,49,116
"Mee-Seva, Warangal",73,73,76,60,77,85,47,56,48,64,94,94
Godavarikhani,94,109,88,67,76,86,68,54,55,61,114,124
Karimnagar,82,90,96,70,76,89,69,55,58,63,101,126
Kothagudem,93,92,80,78,93,92,84,70,56,59,92,97
Khammam,80,78,77,79,77,81,73,58,42,57,78,115
Kothur,93,73,90,85,83,104,80,88,81,91,111,114
Balasamudram,76,45,71,79,,77,47,54,71,79,103,82
Nakkalagutta,67,87,103,81,65,73,51,79,76,87,90,95
