Location,01/20,02/20,03/20,04/20,05/20,06/20,07/20,08/20,09/20,10/20,11/20,12/20
R C Puram,107,104,89,45,59,72,70,69,57,70,85,89
Gaddapotharam,105,108,92,51,63,74,77,72,64,66,73,78
Sangareddy,86,85,73,40,53,60,61,54,49,60,68,70
Nalgonda,58,58,49,28,32,52,54,52,50,49,51,63
Choutuppal,61,61,54,30,36,55,58,53,60,56,61,80
Nizamabad,64,64,66,38,50,52,63,60,62,62,63,81
Adilabad,78,82,71,52,,74,74,72,72,72,,
Bollaram,123,121,120,,115,123,119,108,78,84,101,104
PETL,99,98,79,62,89,77,80,63,74,82,95,98
"Kuda, warangal",92,88,65,38,41,42,57,67,51,59,85,59
"Mee-Seva, Warangal",89,88,74,41,65,58,67,61,55,61,92,91
Godavarikhani,108,108,88,74,91,73,63,56,56,61,97,124
Karimnagar,111,114,110,39,72,58,114,70,96,137,114,108
Kothagudem,100,95,95,44,73,80,63,41,52,72,97,110
Khammam,88,84,83,80,63,48,70,37,52,62,83,95
Kothur,111,114,110,70,94,77,130,90,,83,110,94
Balasamudram,89,89,40,24,47,45,37,55,40,38,82,61
Nakkalagutta,90,94,59,,94,99,69,40,52,44,85,80
